,alias,code,title,units,image_file,description
58,P_G_02_b,PAV-PRD1-MAT1-5-PAT21-BST2,Георешетка с круглым модулем,m2,P_G_02.jpg,"Самоблокирующийся бетонный блок светло-серого оттенка,
габариты элементов 450х600, заполнение швов возможно
растительностью, набивным покрытием. применение: пар-
ковки, проезды, дворы."
59,P_K_01_a,PAV-PRD1-MAT9-PAT22-COL5-BST1,Брусчатка клинкерная,m2,P_K_01.jpg,Темно-серая клинкерная брусчатка. раскладка со смещением.
60,P_K_01_b,PAV-PRD1-MAT9-PAT22-COL5-BST2,Брусчатка клинкерная,m2,P_K_01.jpg,Темно-серая клинкерная брусчатка. раскладка со смещением.
61,P_K_02_a,PAV-PRD1-MAT9-PAT22-COL6-BST1,Брусчатка клинкерная,m2,P_K_02.jpg,Светло-серая клинкерная брусчатка. раскладка со смещением.
62,P_K_02_b,PAV-PRD1-MAT9-PAT22-COL6-BST2,Брусчатка клинкерная,m2,P_K_02.jpg,Светло-серая клинкерная брусчатка. раскладка со смещением.
63,P_K_03_a,PAV-PRD1-MAT9-PAT22-COL7-BST1,Брусчатка клинкерная,m2,P_K_03.jpg,Желтая клинкерная брусчатка. раскладка со смещением.
64,P_K_03_b,PAV-PRD1-MAT9-PAT22-COL7-BST2,Брусчатка клинкерная,m2,P_K_03.jpg,Желтая клинкерная брусчатка. раскладка со смещением.
65,P_K_04_a,PAV-PRD1-MAT9-PAT23-COL5-BST1,Брусчатка клинкерная,m2,P_K_04.jpg,Темно-серая клинкерная брусчатка. раскладка елкой.
66,P_K_04_b,PAV-PRD1-MAT9-PAT23-COL5-BST2,Брусчатка клинкерная,m2,P_K_04.jpg,Темно-серая клинкерная брусчатка. раскладка елкой.
67,P_K_05_a,PAV-PRD1-MAT9-PAT23-COL6-BST1,Брусчатка клинкерная,m2,P_K_05.jpg,Светло-серая клинкерная брусчатка. раскладка елкой.
68,P_K_05_b,PAV-PRD1-MAT9-PAT23-COL6-BST2,Брусчатка клинкерная,m2,P_K_05.jpg,Светло-серая клинкерная брусчатка. раскладка елкой.
69,P_K_06_a,PAV-PRD1-MAT9-PAT23-COL7-BST1,Брусчатка клинкерная,m2,P_K_06.jpg,Желтая клинкерная брусчатка. раскладка елкой.
70,P_K_06_b,PAV-PRD1-MAT9-PAT23-COL7-BST2,Брусчатка клинкерная,m2,P_K_06.jpg,Желтая клинкерная брусчатка. раскладка елкой.
71,P_M_01_a,PAV-PRD2-MAT10-COL5-BST1,Асфальтобетон,m2,P_M_01.jpg,Темно-серое мелкозернистое покрытие из асфальтобетона.
72,P_M_01_b,PAV-PRD2-MAT10-COL5-BST2,Асфальтобетон,m2,P_M_01.jpg,Темно-серое мелкозернистое покрытие из асфальтобетона.
73,P_M_03_a,PAV-PRD2-MAT1-COL6-BST1,Монолитный бетон,m2,P_M_03.jpg,Гладкий монолитный светло-серый бетон.
74,P_M_04_a,PAV-PRD2-MAT2-COL6-BST1,Монолитный бетон,m2,P_M_04.jpg,Рифленый монолитный светло-серый бетон.
75,P_M_04_b,PAV-PRD2-MAT2-COL6-BST2,Монолитный бетон,m2,P_M_04.jpg,Рифленый монолитный светло-серый бетон.
76,P_M_05_a,PAV-PRD2-MAT1-COL8-BST1,Монолитный бетон,m2,P_M_05.jpg,Гладкий монолитный бетон. цвет красный.
77,P_R_01_a,PAV-PRD3-MAT11-COL3-BST1,Галтованный мрамор,m2,P_R_01.jpg,Мрамор галтованный фракцией 7-150 мм
78,P_R_01_b,PAV-PRD3-MAT11-COL3-BST2,Галтованный мрамор,m2,P_R_01.jpg,Мрамор галтованны фракцией 7-150 мм
79,P_R_02_a,PAV-PRD3-MAT12-COL1-BST1,Сланец,m2,P_R_02.jpg,Черный сланец фракцией 7-150 мм
80,P_R_02_b,PAV-PRD3-MAT12-COL1-BST2,Сланец,m2,P_R_02.jpg,Черный сланец фракцией 7-150 мм
81,P_R_03_a,PAV-PRD3-MAT12-COL10-BST1,Мульчирующая щепа,m2,P_R_03.jpg,Светлая мульчирующая щепа.
82,P_R_03_b,PAV-PRD3-MAT12-COL10-BST2,Мульчирующая щепа,m2,P_R_03.jpg,Светлая мульчирующая щепа.
83,P_R_04_a,PAV-PRD3-MAT12-COL9-BST1,Мульчирующая щепа,m2,P_R_04.jpg,Темная мульчирующая щепа.
84,P_R_04_b,PAV-PRD3-MAT12-COL9-BST2,Мульчирующая щепа,m2,P_R_04.jpg,Темная мульчирующая щепа.
85,P_R_05_a,PAV-PRD3-MAT14-BST1,Песок,m2,P_R_05.jpg,Песок речной.
86,P_R_05_b,PAV-PRD3-MAT14-BST2,Песок,m2,P_R_05.jpg,Песок речной.
87,P_R_06_a,PAV-PRD3-MAT5-COL10-BST1,Гранитный отсев,m2,P_R_06.jpg,Коричневый гранитный отсев фракцией 0-5 мм.
88,P_R_06_b,PAV-PRD3-MAT5-COL10-BST2,Гранитный отсев,m2,P_R_06.jpg,Коричневый гранитный отсев фракцией 0-5 мм.
89,P_R_07_a,PAV-PRD3-MAT5-COL2-BST1,Гранитный отсев,m2,P_R_07.jpg,Серый гранитный отсев фракцией 0-5 мм.
90,P_R_07_b,PAV-PRD3-MAT5-COL2-BST2,Гранитный отсев,m2,P_R_07.jpg,Серый гранитный отсев фракцией 0-5 мм.
