alias,code,title,units,image_file,description
P_D_01,PAV-PRD1-MAT6-PAT19-BST2,Террасная доска,m2,P_D_01.jpg,Доска из лиственницы. габарит 26х140х3000.
P_G_01_a,PAV-PRD1-MAT1-8-PAT20-BST1,Георешетка с квадратным модулем,m2,P_G_01.jpg,"Бетонная георешетка светло-серого оттенка, габариты эле-
ментов 610х610, заполнение швов возможно растительно-
стью, набивным покрытием. применение: парковки, проезды,
дворы."
P_G_01_b,PAV-PRD1-MAT1-8-PAT20-BST2,Георешетка с квадратным модулем,m2,P_G_01.jpg,"Бетонная георешетка светло-серого оттенка, габариты эле-
ментов 610х610, заполнение швов возможно растительно-
стью, набивным покрытием. применение: парковки, проезды,
дворы."
P_G_02_a,PAV-PRD1-MAT1-5-PAT21-BST1,Георешетка с круглым модулем,m2,P_G_02.jpg,"Самоблокирующийся бетонный блок светло-серого оттенка,
габариты элементов 450х600, заполнение швов возможно
растительностью, набивным покрытием. применение: пар-
ковки, проезды, дворы."
P_G_02_b,PAV-PRD1-MAT1-5-PAT21-BST2,Георешетка с круглым модулем,m2,P_G_02.jpg,"Самоблокирующийся бетонный блок светло-серого оттенка,
габариты элементов 450х600, заполнение швов возможно
растительностью, набивным покрытием. применение: пар-
ковки, проезды, дворы."
P_K_01_a,PAV-PRD1-MAT9-PAT22-COL5-BST1,Брусчатка клинкерная,m2,P_K_01.jpg,Темно-серая клинкерная брусчатка. раскладка со смещением.
P_K_01_b,PAV-PRD1-MAT9-PAT22-COL5-BST2,Брусчатка клинкерная,m2,P_K_01.jpg,Темно-серая клинкерная брусчатка. раскладка со смещением.
P_K_02_a,PAV-PRD1-MAT9-PAT22-COL6-BST1,Брусчатка клинкерная,m2,P_K_02.jpg,Светло-серая клинкерная брусчатка. раскладка со смещением.
P_K_02_b,PAV-PRD1-MAT9-PAT22-COL6-BST2,Брусчатка клинкерная,m2,P_K_02.jpg,Светло-серая клинкерная брусчатка. раскладка со смещением.
P_K_03_a,PAV-PRD1-MAT9-PAT22-COL7-BST1,Брусчатка клинкерная,m2,P_K_03.jpg,Желтая клинкерная брусчатка. раскладка со смещением.
P_K_03_b,PAV-PRD1-MAT9-PAT22-COL7-BST2,Брусчатка клинкерная,m2,P_K_03.jpg,Желтая клинкерная брусчатка. раскладка со смещением.
P_K_04_a,PAV-PRD1-MAT9-PAT23-COL5-BST1,Брусчатка клинкерная,m2,P_K_04.jpg,Темно-серая клинкерная брусчатка. раскладка елкой.
P_K_04_b,PAV-PRD1-MAT9-PAT23-COL5-BST2,Брусчатка клинкерная,m2,P_K_04.jpg,Темно-серая клинкерная брусчатка. раскладка елкой.
